sepal_length,sepal_width,petal_length,petal_width,species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
5.1,3.5,1.4,0.2,species_4
4.9,3.0,1.4,0.2,species_4
4.7,3.2,1.3,0.2,species_4
4.6,3.1,1.5,0.2,species_4
5.0,3.6,1.4,0.2,species_4
5.4,3.9,1.7,0.4,species_4
4.6,3.4,1.4,0.3,species_4
5.0,3.4,1.5,0.2,species_4
4.4,2.9,1.4,0.2,species_4
4.9,3.1,1.5,0.1,species_4
5.4,3.7,1.5,0.2,species_4
4.8,3.4,1.6,0.2,species_4
4.8,3.0,1.4,0.1,species_4
4.3,3.0,1.1,0.1,species_4
5.8,4.0,1.2,0.2,species_4
5.7,4.4,1.5,0.4,species_4
5.4,3.9,1.3,0.4,species_4
5.1,3.5,1.4,0.3,species_4
5.7,3.8,1.7,0.3,species_4
5.1,3.8,1.5,0.3,species_4
5.4,3.4,1.7,0.2,species_4
5.1,3.7,1.5,0.4,species_4
4.6,3.6,1.0,0.2,species_4
5.1,3.3,1.7,0.5,species_4
4.8,3.4,1.9,0.2,species_4
5.0,3.0,1.6,0.2,species_4
5.0,3.4,1.6,0.4,species_4
5.2,3.5,1.5,0.2,species_4
5.2,3.4,1.4,0.2,species_4
4.7,3.2,1.6,0.2,species_4
4.8,3.1,1.6,0.2,species_4
5.4,3.4,1.5,0.4,species_4
5.2,4.1,1.5,0.1,species_4
5.5,4.2,1.4,0.2,species_4
4.9,3.1,1.5,0.1,species_4
5.0,3.2,1.2,0.2,species_4
5.5,3.5,1.3,0.2,species_4
4.9,3.1,1.5,0.1,species_4
4.4,3.0,1.3,0.2,species_4
5.1,3.4,1.5,0.2,species_4
5.0,3.5,1.3,0.3,species_4
4.5,2.3,1.3,0.3,species_4
4.4,3.2,1.3,0.2,species_4
5.0,3.5,1.6,0.6,species_4
5.1,3.8,1.9,0.4,species_4
4.8,3.0,1.4,0.3,species_4
5.1,3.8,1.6,0.2,species_4
4.6,3.2,1.4,0.2,species_4
5.3,3.7,1.5,0.2,species_4
5.0,3.3,1.4,0.2,species_4
7.0,3.2,4.7,1.4,species_5
6.4,3.2,4.5,1.5,species_5
6.9,3.1,4.9,1.5,species_5
5.5,2.3,4.0,1.3,species_5
6.5,2.8,4.6,1.5,species_5
5.7,2.8,4.5,1.3,species_5
6.3,3.3,4.7,1.6,species_5
4.9,2.4,3.3,1.0,species_5
6.6,2.9,4.6,1.3,species_5
5.2,2.7,3.9,1.4,species_5
5.0,2.0,3.5,1.0,species_5
5.9,3.0,4.2,1.5,species_5
6.0,2.2,4.0,1.0,species_5
6.1,2.9,4.7,1.4,species_5
5.6,2.9,3.6,1.3,species_5
6.7,3.1,4.4,1.4,species_5
5.6,3.0,4.5,1.5,species_5
5.8,2.7,4.1,1.0,species_5
6.2,2.2,4.5,1.5,species_5
5.6,2.5,3.9,1.1,species_5
5.9,3.2,4.8,1.8,species_5
6.1,2.8,4.0,1.3,species_5
6.3,2.5,4.9,1.5,species_5
6.1,2.8,4.7,1.2,species_5
6.4,2.9,4.3,1.3,species_5
6.6,3.0,4.4,1.4,species_5
6.8,2.8,4.8,1.4,species_5
6.7,3.0,5.0,1.7,species_5
6.0,2.9,4.5,1.5,species_5
5.7,2.6,3.5,1.0,species_5
5.5,2.4,3.8,1.1,species_5
5.5,2.4,3.7,1.0,species_5
5.8,2.7,3.9,1.2,species_5
6.0,2.7,5.1,1.6,species_5
5.4,3.0,4.5,1.5,species_5
6.0,3.4,4.5,1.6,species_5
6.7,3.1,4.7,1.5,species_5
6.3,2.3,4.4,1.3,species_5
5.6,3.0,4.1,1.3,species_5
5.5,2.5,4.0,1.3,species_5
5.5,2.6,4.4,1.2,species_5
6.1,3.0,4.6,1.4,species_5
5.8,2.6,4.0,1.2,species_5
5.0,2.3,3.3,1.0,species_5
5.6,2.7,4.2,1.3,species_5
5.7,3.0,4.2,1.2,species_5
5.7,2.9,4.2,1.3,species_5
6.2,2.9,4.3,1.3,species_5
5.1,2.5,3.0,1.1,species_5
5.7,2.8,4.1,1.3,species_5
6.3,3.3,6.0,2.5,species_6
5.8,2.7,5.1,1.9,species_6
7.1,3.0,5.9,2.1,species_6
6.3,2.9,5.6,1.8,species_6
6.5,3.0,5.8,2.2,species_6
7.6,3.0,6.6,2.1,species_6
4.9,2.5,4.5,1.7,species_6
7.3,2.9,6.3,1.8,species_6
6.7,2.5,5.8,1.8,species_6
7.2,3.6,6.1,2.5,species_6
6.5,3.2,5.1,2.0,species_6
6.4,2.7,5.3,1.9,species_6
6.8,3.0,5.5,2.1,species_6
5.7,2.5,5.0,2.0,species_6
5.8,2.8,5.1,2.4,species_6
6.4,3.2,5.3,2.3,species_6
6.5,3.0,5.5,1.8,species_6
7.7,3.8,6.7,2.2,species_6
7.7,2.6,6.9,2.3,species_6
6.0,2.2,5.0,1.5,species_6
6.9,3.2,5.7,2.3,species_6
5.6,2.8,4.9,2.0,species_6
7.7,2.8,6.7,2.0,species_6
6.3,2.7,4.9,1.8,species_6
6.7,3.3,5.7,2.1,species_6
7.2,3.2,6.0,1.8,species_6
6.2,2.8,4.8,1.8,species_6
6.1,3.0,4.9,1.8,species_6
6.4,2.8,5.6,2.1,species_6
7.2,3.0,5.8,1.6,species_6
7.4,2.8,6.1,1.9,species_6
7.9,3.8,6.4,2.0,species_6
6.4,2.8,5.6,2.2,species_6
6.3,2.8,5.1,1.5,species_6
6.1,2.6,5.6,1.4,species_6
7.7,3.0,6.1,2.3,species_6
6.3,3.4,5.6,2.4,species_6
6.4,3.1,5.5,1.8,species_6
6.0,3.0,4.8,1.8,species_6
6.9,3.1,5.4,2.1,species_6
6.7,3.1,5.6,2.4,species_6
6.9,3.1,5.1,2.3,species_6
5.8,2.7,5.1,1.9,species_6
6.8,3.2,5.9,2.3,species_6
6.7,3.3,5.7,2.5,species_6
6.7,3.0,5.2,2.3,species_6
6.3,2.5,5.0,1.9,species_6
6.5,3.0,5.2,2.0,species_6
6.2,3.4,5.4,2.3,species_6
5.9,3.0,5.1,1.8,species_6
5.1,3.5,1.4,0.2,species_7
4.9,3.0,1.4,0.2,species_7
4.7,3.2,1.3,0.2,species_7
4.6,3.1,1.5,0.2,species_7
5.0,3.6,1.4,0.2,species_7
5.4,3.9,1.7,0.4,species_7
4.6,3.4,1.4,0.3,species_7
5.0,3.4,1.5,0.2,species_7
4.4,2.9,1.4,0.2,species_7
4.9,3.1,1.5,0.1,species_7
5.4,3.7,1.5,0.2,species_7
4.8,3.4,1.6,0.2,species_7
4.8,3.0,1.4,0.1,species_7
4.3,3.0,1.1,0.1,species_7
5.8,4.0,1.2,0.2,species_7
5.7,4.4,1.5,0.4,species_7
5.4,3.9,1.3,0.4,species_7
5.1,3.5,1.4,0.3,species_7
5.7,3.8,1.7,0.3,species_7
5.1,3.8,1.5,0.3,species_7
5.4,3.4,1.7,0.2,species_7
5.1,3.7,1.5,0.4,species_7
4.6,3.6,1.0,0.2,species_7
5.1,3.3,1.7,0.5,species_7
4.8,3.4,1.9,0.2,species_7
5.0,3.0,1.6,0.2,species_7
5.0,3.4,1.6,0.4,species_7
5.2,3.5,1.5,0.2,species_7
5.2,3.4,1.4,0.2,species_7
4.7,3.2,1.6,0.2,species_7
4.8,3.1,1.6,0.2,species_7
5.4,3.4,1.5,0.4,species_7
5.2,4.1,1.5,0.1,species_7
5.5,4.2,1.4,0.2,species_7
4.9,3.1,1.5,0.1,species_7
5.0,3.2,1.2,0.2,species_7
5.5,3.5,1.3,0.2,species_7
4.9,3.1,1.5,0.1,species_7
4.4,3.0,1.3,0.2,species_7
5.1,3.4,1.5,0.2,species_7
5.0,3.5,1.3,0.3,species_7
4.5,2.3,1.3,0.3,species_7
4.4,3.2,1.3,0.2,species_7
5.0,3.5,1.6,0.6,species_7
5.1,3.8,1.9,0.4,species_7
4.8,3.0,1.4,0.3,species_7
5.1,3.8,1.6,0.2,species_7
4.6,3.2,1.4,0.2,species_7
5.3,3.7,1.5,0.2,species_7
5.0,3.3,1.4,0.2,species_7
7.0,3.2,4.7,1.4,species_8
6.4,3.2,4.5,1.5,species_8
6.9,3.1,4.9,1.5,species_8
5.5,2.3,4.0,1.3,species_8
6.5,2.8,4.6,1.5,species_8
5.7,2.8,4.5,1.3,species_8
6.3,3.3,4.7,1.6,species_8
4.9,2.4,3.3,1.0,species_8
6.6,2.9,4.6,1.3,species_8
5.2,2.7,3.9,1.4,species_8
5.0,2.0,3.5,1.0,species_8
5.9,3.0,4.2,1.5,species_8
6.0,2.2,4.0,1.0,species_8
6.1,2.9,4.7,1.4,species_8
5.6,2.9,3.6,1.3,species_8
6.7,3.1,4.4,1.4,species_8
5.6,3.0,4.5,1.5,species_8
5.8,2.7,4.1,1.0,species_8
6.2,2.2,4.5,1.5,species_8
5.6,2.5,3.9,1.1,species_8
5.9,3.2,4.8,1.8,species_8
6.1,2.8,4.0,1.3,species_8
6.3,2.5,4.9,1.5,species_8
6.1,2.8,4.7,1.2,species_8
6.4,2.9,4.3,1.3,species_8
6.6,3.0,4.4,1.4,species_8
6.8,2.8,4.8,1.4,species_8
6.7,3.0,5.0,1.7,species_8
6.0,2.9,4.5,1.5,species_8
5.7,2.6,3.5,1.0,species_8
5.5,2.4,3.8,1.1,species_8
5.5,2.4,3.7,1.0,species_8
5.8,2.7,3.9,1.2,species_8
6.0,2.7,5.1,1.6,species_8
5.4,3.0,4.5,1.5,species_8
6.0,3.4,4.5,1.6,species_8
6.7,3.1,4.7,1.5,species_8
6.3,2.3,4.4,1.3,species_8
5.6,3.0,4.1,1.3,species_8
5.5,2.5,4.0,1.3,species_8
5.5,2.6,4.4,1.2,species_8
6.1,3.0,4.6,1.4,species_8
5.8,2.6,4.0,1.2,species_8
5.0,2.3,3.3,1.0,species_8
5.6,2.7,4.2,1.3,species_8
5.7,3.0,4.2,1.2,species_8
5.7,2.9,4.2,1.3,species_8
6.2,2.9,4.3,1.3,species_8
5.1,2.5,3.0,1.1,species_8
5.7,2.8,4.1,1.3,species_8
6.3,3.3,6.0,2.5,species_9
5.8,2.7,5.1,1.9,species_9
7.1,3.0,5.9,2.1,species_9
6.3,2.9,5.6,1.8,species_9
6.5,3.0,5.8,2.2,species_9
7.6,3.0,6.6,2.1,species_9
4.9,2.5,4.5,1.7,species_9
7.3,2.9,6.3,1.8,species_9
6.7,2.5,5.8,1.8,species_9
7.2,3.6,6.1,2.5,species_9
6.5,3.2,5.1,2.0,species_9
6.4,2.7,5.3,1.9,species_9
6.8,3.0,5.5,2.1,species_9
5.7,2.5,5.0,2.0,species_9
5.8,2.8,5.1,2.4,species_9
6.4,3.2,5.3,2.3,species_9
6.5,3.0,5.5,1.8,species_9
7.7,3.8,6.7,2.2,species_9
7.7,2.6,6.9,2.3,species_9
6.0,2.2,5.0,1.5,species_9
6.9,3.2,5.7,2.3,species_9
5.6,2.8,4.9,2.0,species_9
7.7,2.8,6.7,2.0,species_9
6.3,2.7,4.9,1.8,species_9
6.7,3.3,5.7,2.1,species_9
7.2,3.2,6.0,1.8,species_9
6.2,2.8,4.8,1.8,species_9
6.1,3.0,4.9,1.8,species_9
6.4,2.8,5.6,2.1,species_9
7.2,3.0,5.8,1.6,species_9
7.4,2.8,6.1,1.9,species_9
7.9,3.8,6.4,2.0,species_9
6.4,2.8,5.6,2.2,species_9
6.3,2.8,5.1,1.5,species_9
6.1,2.6,5.6,1.4,species_9
7.7,3.0,6.1,2.3,species_9
6.3,3.4,5.6,2.4,species_9
6.4,3.1,5.5,1.8,species_9
6.0,3.0,4.8,1.8,species_9
6.9,3.1,5.4,2.1,species_9
6.7,3.1,5.6,2.4,species_9
6.9,3.1,5.1,2.3,species_9
5.8,2.7,5.1,1.9,species_9
6.8,3.2,5.9,2.3,species_9
6.7,3.3,5.7,2.5,species_9
6.7,3.0,5.2,2.3,species_9
6.3,2.5,5.0,1.9,species_9
6.5,3.0,5.2,2.0,species_9
6.2,3.4,5.4,2.3,species_9
5.9,3.0,5.1,1.8,species_9
5.1,3.5,1.4,0.2,species_10
4.9,3.0,1.4,0.2,species_10
4.7,3.2,1.3,0.2,species_10
4.6,3.1,1.5,0.2,species_10
5.0,3.6,1.4,0.2,species_10
5.4,3.9,1.7,0.4,species_10
4.6,3.4,1.4,0.3,species_10
5.0,3.4,1.5,0.2,species_10
4.4,2.9,1.4,0.2,species_10
4.9,3.1,1.5,0.1,species_10
5.4,3.7,1.5,0.2,species_10
4.8,3.4,1.6,0.2,species_10
4.8,3.0,1.4,0.1,species_10
4.3,3.0,1.1,0.1,species_10
5.8,4.0,1.2,0.2,species_10
5.7,4.4,1.5,0.4,species_10
5.4,3.9,1.3,0.4,species_10
5.1,3.5,1.4,0.3,species_10
5.7,3.8,1.7,0.3,species_10
5.1,3.8,1.5,0.3,species_10
5.4,3.4,1.7,0.2,species_10
5.1,3.7,1.5,0.4,species_10
4.6,3.6,1.0,0.2,species_10
5.1,3.3,1.7,0.5,species_10
4.8,3.4,1.9,0.2,species_10
5.0,3.0,1.6,0.2,species_10
5.0,3.4,1.6,0.4,species_10
5.2,3.5,1.5,0.2,species_10
5.2,3.4,1.4,0.2,species_10
4.7,3.2,1.6,0.2,species_10
4.8,3.1,1.6,0.2,species_10
5.4,3.4,1.5,0.4,species_10
5.2,4.1,1.5,0.1,species_10
5.5,4.2,1.4,0.2,species_10
4.9,3.1,1.5,0.1,species_10
5.0,3.2,1.2,0.2,species_10
5.5,3.5,1.3,0.2,species_10
4.9,3.1,1.5,0.1,species_10
4.4,3.0,1.3,0.2,species_10
5.1,3.4,1.5,0.2,species_10
5.0,3.5,1.3,0.3,species_10
4.5,2.3,1.3,0.3,species_10
4.4,3.2,1.3,0.2,species_10
5.0,3.5,1.6,0.6,species_10
5.1,3.8,1.9,0.4,species_10
4.8,3.0,1.4,0.3,species_10
5.1,3.8,1.6,0.2,species_10
4.6,3.2,1.4,0.2,species_10
5.3,3.7,1.5,0.2,species_10
5.0,3.3,1.4,0.2,species_10
7.0,3.2,4.7,1.4,species_11
6.4,3.2,4.5,1.5,species_11
6.9,3.1,4.9,1.5,species_11
5.5,2.3,4.0,1.3,species_11
6.5,2.8,4.6,1.5,species_11
5.7,2.8,4.5,1.3,species_11
6.3,3.3,4.7,1.6,species_11
4.9,2.4,3.3,1.0,species_11
6.6,2.9,4.6,1.3,species_11
5.2,2.7,3.9,1.4,species_11
5.0,2.0,3.5,1.0,species_11
5.9,3.0,4.2,1.5,species_11
6.0,2.2,4.0,1.0,species_11
6.1,2.9,4.7,1.4,species_11
5.6,2.9,3.6,1.3,species_11
6.7,3.1,4.4,1.4,species_11
5.6,3.0,4.5,1.5,species_11
5.8,2.7,4.1,1.0,species_11
6.2,2.2,4.5,1.5,species_11
5.6,2.5,3.9,1.1,species_11
5.9,3.2,4.8,1.8,species_11
6.1,2.8,4.0,1.3,species_11
6.3,2.5,4.9,1.5,species_11
6.1,2.8,4.7,1.2,species_11
6.4,2.9,4.3,1.3,species_11
6.6,3.0,4.4,1.4,species_11
6.8,2.8,4.8,1.4,species_11
6.7,3.0,5.0,1.7,species_11
6.0,2.9,4.5,1.5,species_11
5.7,2.6,3.5,1.0,species_11
5.5,2.4,3.8,1.1,species_11
5.5,2.4,3.7,1.0,species_11
5.8,2.7,3.9,1.2,species_11
6.0,2.7,5.1,1.6,species_11
5.4,3.0,4.5,1.5,species_11
6.0,3.4,4.5,1.6,species_11
6.7,3.1,4.7,1.5,species_11
6.3,2.3,4.4,1.3,species_11
5.6,3.0,4.1,1.3,species_11
5.5,2.5,4.0,1.3,species_11
5.5,2.6,4.4,1.2,species_11
6.1,3.0,4.6,1.4,species_11
5.8,2.6,4.0,1.2,species_11
5.0,2.3,3.3,1.0,species_11
5.6,2.7,4.2,1.3,species_11
5.7,3.0,4.2,1.2,species_11
5.7,2.9,4.2,1.3,species_11
6.2,2.9,4.3,1.3,species_11
5.1,2.5,3.0,1.1,species_11
5.7,2.8,4.1,1.3,species_11
6.3,3.3,6.0,2.5,species_12
5.8,2.7,5.1,1.9,species_12
7.1,3.0,5.9,2.1,species_12
6.3,2.9,5.6,1.8,species_12
6.5,3.0,5.8,2.2,species_12
7.6,3.0,6.6,2.1,species_12
4.9,2.5,4.5,1.7,species_12
7.3,2.9,6.3,1.8,species_12
6.7,2.5,5.8,1.8,species_12
7.2,3.6,6.1,2.5,species_12
6.5,3.2,5.1,2.0,species_12
6.4,2.7,5.3,1.9,species_12
6.8,3.0,5.5,2.1,species_12
5.7,2.5,5.0,2.0,species_12
5.8,2.8,5.1,2.4,species_12
6.4,3.2,5.3,2.3,species_12
6.5,3.0,5.5,1.8,species_12
7.7,3.8,6.7,2.2,species_12
7.7,2.6,6.9,2.3,species_12
6.0,2.2,5.0,1.5,species_12
6.9,3.2,5.7,2.3,species_12
5.6,2.8,4.9,2.0,species_12
7.7,2.8,6.7,2.0,species_12
6.3,2.7,4.9,1.8,species_12
6.7,3.3,5.7,2.1,species_12
7.2,3.2,6.0,1.8,species_12
6.2,2.8,4.8,1.8,species_12
6.1,3.0,4.9,1.8,species_12
6.4,2.8,5.6,2.1,species_12
7.2,3.0,5.8,1.6,species_12
7.4,2.8,6.1,1.9,species_12
7.9,3.8,6.4,2.0,species_12
6.4,2.8,5.6,2.2,species_12
6.3,2.8,5.1,1.5,species_12
6.1,2.6,5.6,1.4,species_12
7.7,3.0,6.1,2.3,species_12
6.3,3.4,5.6,2.4,species_12
6.4,3.1,5.5,1.8,species_12
6.0,3.0,4.8,1.8,species_12
6.9,3.1,5.4,2.1,species_12
6.7,3.1,5.6,2.4,species_12
6.9,3.1,5.1,2.3,species_12
5.8,2.7,5.1,1.9,species_12
6.8,3.2,5.9,2.3,species_12
6.7,3.3,5.7,2.5,species_12
6.7,3.0,5.2,2.3,species_12
6.3,2.5,5.0,1.9,species_12
6.5,3.0,5.2,2.0,species_12
6.2,3.4,5.4,2.3,species_12
5.9,3.0,5.1,1.8,species_12
5.1,3.5,1.4,0.2,species_13
4.9,3.0,1.4,0.2,species_13
4.7,3.2,1.3,0.2,species_13
4.6,3.1,1.5,0.2,species_13
5.0,3.6,1.4,0.2,species_13
5.4,3.9,1.7,0.4,species_13
4.6,3.4,1.4,0.3,species_13
5.0,3.4,1.5,0.2,species_13
4.4,2.9,1.4,0.2,species_13
4.9,3.1,1.5,0.1,species_13
5.4,3.7,1.5,0.2,species_13
4.8,3.4,1.6,0.2,species_13
4.8,3.0,1.4,0.1,species_13
4.3,3.0,1.1,0.1,species_13
5.8,4.0,1.2,0.2,species_13
5.7,4.4,1.5,0.4,species_13
5.4,3.9,1.3,0.4,species_13
5.1,3.5,1.4,0.3,species_13
5.7,3.8,1.7,0.3,species_13
5.1,3.8,1.5,0.3,species_13
5.4,3.4,1.7,0.2,species_13
5.1,3.7,1.5,0.4,species_13
4.6,3.6,1.0,0.2,species_13
5.1,3.3,1.7,0.5,species_13
4.8,3.4,1.9,0.2,species_13
5.0,3.0,1.6,0.2,species_13
5.0,3.4,1.6,0.4,species_13
5.2,3.5,1.5,0.2,species_13
5.2,3.4,1.4,0.2,species_13
4.7,3.2,1.6,0.2,species_13
4.8,3.1,1.6,0.2,species_13
5.4,3.4,1.5,0.4,species_13
5.2,4.1,1.5,0.1,species_13
5.5,4.2,1.4,0.2,species_13
4.9,3.1,1.5,0.1,species_13
5.0,3.2,1.2,0.2,species_13
5.5,3.5,1.3,0.2,species_13
4.9,3.1,1.5,0.1,species_13
4.4,3.0,1.3,0.2,species_13
5.1,3.4,1.5,0.2,species_13
5.0,3.5,1.3,0.3,species_13
4.5,2.3,1.3,0.3,species_13
4.4,3.2,1.3,0.2,species_13
5.0,3.5,1.6,0.6,species_13
5.1,3.8,1.9,0.4,species_13
4.8,3.0,1.4,0.3,species_13
5.1,3.8,1.6,0.2,species_13
4.6,3.2,1.4,0.2,species_13
5.3,3.7,1.5,0.2,species_13
5.0,3.3,1.4,0.2,species_13
7.0,3.2,4.7,1.4,species_14
6.4,3.2,4.5,1.5,species_14
6.9,3.1,4.9,1.5,species_14
5.5,2.3,4.0,1.3,species_14
6.5,2.8,4.6,1.5,species_14
5.7,2.8,4.5,1.3,species_14
6.3,3.3,4.7,1.6,species_14
4.9,2.4,3.3,1.0,species_14
6.6,2.9,4.6,1.3,species_14
5.2,2.7,3.9,1.4,species_14
5.0,2.0,3.5,1.0,species_14
5.9,3.0,4.2,1.5,species_14
6.0,2.2,4.0,1.0,species_14
6.1,2.9,4.7,1.4,species_14
5.6,2.9,3.6,1.3,species_14
6.7,3.1,4.4,1.4,species_14
5.6,3.0,4.5,1.5,species_14
5.8,2.7,4.1,1.0,species_14
6.2,2.2,4.5,1.5,species_14
5.6,2.5,3.9,1.1,species_14
5.9,3.2,4.8,1.8,species_14
6.1,2.8,4.0,1.3,species_14
6.3,2.5,4.9,1.5,species_14
6.1,2.8,4.7,1.2,species_14
6.4,2.9,4.3,1.3,species_14
6.6,3.0,4.4,1.4,species_14
6.8,2.8,4.8,1.4,species_14
6.7,3.0,5.0,1.7,species_14
6.0,2.9,4.5,1.5,species_14
5.7,2.6,3.5,1.0,species_14
5.5,2.4,3.8,1.1,species_14
5.5,2.4,3.7,1.0,species_14
5.8,2.7,3.9,1.2,species_14
6.0,2.7,5.1,1.6,species_14
5.4,3.0,4.5,1.5,species_14
6.0,3.4,4.5,1.6,species_14
6.7,3.1,4.7,1.5,species_14
6.3,2.3,4.4,1.3,species_14
5.6,3.0,4.1,1.3,species_14
5.5,2.5,4.0,1.3,species_14
5.5,2.6,4.4,1.2,species_14
6.1,3.0,4.6,1.4,species_14
5.8,2.6,4.0,1.2,species_14
5.0,2.3,3.3,1.0,species_14
5.6,2.7,4.2,1.3,species_14
